Class,Roll,Name
4,363,"Adelaida Adelaide"
4,230,"Adina Adora"
4,457,"Adrienne Aeriel"
4,498,"Ali Alia"
4,307,"Alicea Alicia"
4,297,"Aliza Alla"
4,236,"Alyse Alysia"
4,444,"Amalia Amalie"
4,325,"Ame Amelia"
4,471,"Amelie Amelina"
4,300,"Anastassia Anatola"
4,161,"Anjanette Anjela"
4,460,"Anna-Diane Anna-Maria"
4,399,"Ardine Ardis"
4,5,"Arlinda Arline"
4,304,"Atalanta Athena"
4,304,"Audrey Audrie"
4,200,"Averil Averyl"
4,429,"Aviva Avivah"
4,132,"Bernardina Bernardine"
4,121,"Berthe Berti"
4,446,"Betta Bette"
4,290,"Bettina Bettine"
4,75,"Bibbie Bibby"
4,70,"Billie Billy"
4,177,"Brandais Brande"
4,127,"Brinna Briny"
4,487,"Brit Brita"
4,315,"Britt Britta"
4,154,"Bryana Bryn"
4,290,"Calli Callida"
4,369,"Camala Camel"
4,455,"Carlina Carline"
4,263,"Carlynn Carlynne"
4,202,"Carol-Jean Carola"
4,154,"Carolan Carolann"
4,110,"Cassandry Cassaundra"
4,148,"Cate Caterina"
4,82,"Cathyleen Cati"
4,221,"Catie Catina"
4,491,"Chantal Chantalle"
4,119,"Charline Charlot"
4,438,"Chastity Chelsae"
4,309,"Christel Christen"
4,498,"Christy Christye"
4,155,"Clarabelle Clare"
4,291,"Clarey Clari"
4,362,"Clem Clemence"
4,132,"Constancia Constancy"
4,378,"Consuela Consuelo"
4,156,"Corabelle Coral"
4,461,"Coralyn Cordelia"
4,134,"Corny Correna"
4,142,"Cristy Crysta"
4,481,"Cthrine Cyb"
4,227,"Dael Daffi"
4,209,"Dagmar Dahlia"
4,181,"Danella Danette"
4,434,"Danna Danni"
4,274,"Dari Daria"
4,260,"Daron Darrelle"
4,419,"Darryl Darsey"
4,88,"Daveen Daveta"
4,125,"Devonna Devonne"
4,438,"Dianna Dianne"
4,347,"Dione Dionis"
4,112,"Dolorita Doloritas"
4,440,"Dorisa Dorise"
4,165,"Dorotea Doroteya"
4,432,"Dreddy Dredi"
4,433,"Edeline Eden"
4,335,"Edna Edwina"
4,264,"Eileen Eilis"
4,350,"Elbertine Eleanor"
4,396,"Elie Elinor"
4,348,"Elisabet Elisabeth"
4,130,"Elita Eliza"
4,409,"Elmira Elna"
4,63,"Elnora Elnore"
4,442,"Emalia Emelda"
4,194,"Emmalyn Emmalynn"
4,495,"Emmey Emmi"
4,476,"Emyle Emylee"
4,452,"Enrica Enrichetta"
4,314,"Eran Erda"
4,288,"Evangelina Evangeline"
4,21,"Evvy Evy"
4,268,"Faina Faith"
4,54,"Fancie Fancy"
4,10,"Farand Farica"
4,255,"Farrand Faun"
4,424,"Fernande Fernandina"
4,115,"Fleurette Flo"
4,5,"Flori Floria"
4,255,"Friederike Fulvia"
4,208,"Gabbey Gabbi"
4,326,"Gabrila Gaby"
4,192,"Galina Garland"
4,165,"Gianna Gigi"
4,135,"Giselle Giuditta"
4,296,"Gretal Gretchen"
4,278,"Gussy Gusta"
4,90,"Gwenore Gwyn"
4,377,"Gwyneth Gwynne"
4,259,"Harmonia Harmonie"
4,8,"Hermia Hermina"
4,296,"Holli Hollie"
4,239,"Hortense Hortensia"
4,285,"Idell Idelle"
4,165,"Isabel Isabelita"
4,312,"Isadora Isahella"
4,2,"Janifer Janina"
4,452,"Jasmin Jasmina"
4,140,"Jenelle Jeni"
4,445,"Jenifer Jeniffer"
4,56,"Jennie Jennifer"
4,280,"Ann Jo-Ann"
4,248,"Joanie Joann"
4,336,"Joellyn Joelynn"
