Class,Roll,Name
5,199,"Adria Adriaens"
5,435,"Aidan Aigneis"
5,289,"Aili Ailina"
5,220,"Alida Alidia"
5,35,"Allyce Allyn"
5,125,"Allys Allyson"
5,277,"Amalee Amaleta"
5,43,"Anabal Anabel"
5,356,"Analiese Analise"
5,63,"Angelia Angelica"
5,434,"Anita Anitra"
5,91,"Annalee Annaliese"
5,222,"Anthea Anthia"
5,421,"April Aprilette"
5,131,"Arabella Arabelle"
5,495,"Ariel Ariela"
5,80,"Arleta Arlette"
5,462,"Arluene Arly"
5,391,"Atlante Auberta"
5,461,"Aurilia Aurlie"
5,36,"Babbette Babbie"
5,50,"Barb Barbabra"
5,244,"Basia Bathsheba"
5,178,"Belita Bell"
5,227,"Benni Bennie"
5,190,"Bert Berta"
5,271,"Beryl Beryle"
5,258,"Beulah Bev"
5,123,"Billye Binni"
5,297,"Bobbie Bobby"
5,37,"Bonny Brana"
5,358,"Brandice Brandie"
5,306,"Bria Briana"
5,456,"Bride Bridget"
5,94,"Briney Brinn"
5,44,"Britney Britni"
5,131,"Caitlin Caitrin"
5,271,"Caresa Caressa"
5,74,"Carita Caritta"
5,48,"Carleen Carlen"
5,233,"Carlie Carlin"
5,224,"Carmela Carmelia"
5,17,"Casey Casi"
5,82,"Cassey Cassi"
5,91,"Cathi Cathie"
5,194,"Chryste Chrystel"
5,440,"Cicely Cicily"
5,352,"Claretta Clarette"
5,33,"Clio Clo"
5,150,"Colleen Collen"
5,466,"Collete Collette"
5,101,"Corey Cori"
5,76,"Corie Corilla"
5,43,"Corina Corine"
5,290,"Coriss Corissa"
5,227,"Crystal Crystie"
5,63,"Cynthea Cynthia"
5,340,"Daphene Daphna"
5,12,"Darcie Darcy"
5,355,"Darleen Darlene"
5,206,"Daryl Daryn"
5,449,"Deeyn Dehlia"
5,418,"Dela Delcina"
5,495,"Delinda Dell"
5,434,"Delora Delores"
5,227,"Dodi Dodie"
5,175,"Donella Donelle"
5,268,"Donica Donielle"
5,236,"Dorita Doro"
5,340,"Dorri Dorrie"
5,489,"Dulci Dulcia"
5,50,"Edith Editha"
5,326,"Edy Edyth"
5,382,"Ekaterina Elaina"
5,380,"Eleanora Eleanore"
5,317,"Electra Eleen"
5,433,"Elonore Elora"
5,214,"Emmie Emmy"
5,383,"Emmye Emogene"
5,36,"Ericha Ericka"
5,97,"Esmeralda Essa"
5,384,"Essie Essy"
5,458,"Evangelia Evangelin"
5,397,"Fawne Fawnia"
5,26,"Filide Filippa"
5,462,"Gae Gael"
5,309,"Gayleen Gaylene"
5,46,"Geneva Genevieve"
5,90,"Georgia Georgiana"
5,140,"Gerianna Gerianne"
5,6,"Gerladina Germain"
5,418,"Gert Gerta"
5,225,"Gertrud Gertruda"
5,97,"Gnni Godiva"
5,96,"Goldi Goldia"
5,485,"Hailee Haily"
5,277,"Haley Hali"
5,445,"Harmony Harri"
5,143,"Harriott Hatti"
5,431,"Helen-Elizabeth Helena"
5,390,"Hildagarde Hilde"
5,252,"Honor Honoria"
5,211,"Hope Horatia"
5,194,"Hulda Hyacinth"
5,364,"Imelda Imogen"
5,343,"Irene Irina"
5,402,"Irma Isa"
5,295,"Ivy Izabel"
5,381,"Jacklin Jacklyn"
5,368,"Jacky Jaclin"
5,14,"Jaime Jaimie"
5,303,"Janella Janelle"
5,124,"Janey Jania"
5,284,"Jennee Jennette"
5,415,"Jerrylee Jess"
5,459,"Jessa Jessalin"
5,265,"Jessamyn Jesse"
5,500,"Jobi Jobie"
5,212,"Jobina Joby"
5,287,"Joella Joelle"
5,118,"Johnette Johnna"
5,7,"Jolene Joletta"
5,326,"Jonie Jonis"
5,490,"Jorry Joscelin"
5,348,"Juieta Julee"
5,463,"Juli Julia"
5,300,"Julieta Julietta"
5,30,"Kalli Kally"
5,229,"Kameko Kamila"
5,245,"Kandace Kandy"
5,349,"Karena Kari"
5,221,"Katti Kattie"
5,159,"Katuscha Katusha"
5,316,"Kayle Kaylee"
5,47,"Keelia Keely"
5,493,"Kimmi Kimmie"
5,261,"Kip Kipp"
5,14,"Krystalle Krystle"
5,364,"Kyle Kylen"
5,379,"La Verne"
5,328,"Ladonna Laetitia"
5,168,"Lauree Laureen"
5,86,"Lavena Laverna"
5,432,"Lenka Lenna"
5,429,"Leta Lethia"
5,272,"Lettie Letty"
5,330,"Lexine Lexis"
5,18,"Lilia Lilian"
5,111,"Lilly Lily"
5,161,"Linette Linn"
5,423,"Linzy Lira"
5,38,"Lisa Lisabeth"
5,247,"Louella Louisa"
5,451,"Lucie Lucienne"
5,409,"Lynna Lynne"
5,92,"Madeline Madella"
5,124,"Madonna Mady"
5,95,"Magdaia Magdalen"
5,474,"Maggie Maggy"
5,117,"Mandie Mandy"
5,264,"Marcile Marcille"
5,346,"Marie-Ann Marie-Jeanne"
5,397,"Marleah Marlee"
5,476,"Marlene Marley"
5,162,"Marlie Marline"
5,324,"Maurizia Mavis"
5,326,"Meggi Meggie"
5,388,"Mela Melamie"
5,399,"Melita Melitta"
5,210,"Melva Mercedes"
5,494,"Merle Merlina"
5,447,"Meryl Meta"
5,290,"Michaeline Michaella"
5,92,"Mildrid Milena"
5,398,"Minerva Minetta"
5,493,"Mufi Mufinella"
5,246,"Nickie Nicky"
5,357,"Norene Norina"
5,227,"Olva Olwen"
5,447,"Olympe Olympia"
5,306,"Olympie Ondrea"
5,165,"Ophelia Ophelie"
5,322,"Oralla Oralle"
5,498,"Pammi Pammie"
5,372,"Pansie Pansy"
5,367,"Petronia Petronilla"
5,291,"Phyllys Phylys"
5,217,"Rani Rania"
5,246,"Rebecca Rebecka"
5,441,"Rhody Rhona"
5,38,"Rici Ricki"
5,386,"Robby Robbyn"
5,460,"Rosabel Rosabella"
5,325,"Rozanne Roze"
5,312,"Ruthann Ruthanne"
5,89,"Ruthie Ruthy"
5,65,"Saidee Sal"
5,388,"Sally Sallyann"
5,185,"Samara Samaria"
5,443,"Selle Selma"
5,439,"Sheela Sheelagh"
5,203,"Sheeree Sheila"
5,370,"Sheila-Kathryn Sheilah"
5,167,"Shena Sher"
5,389,"Sidonia Sidonnie"
5,86,"Simone Simonette"
5,371,"Stesha Stevana"
5,395,"Suzi Suzie"
5,24,"Tabina Tabitha"
5,46,"Tanya Tara"
5,340,"Tarrah Taryn"
5,11,"Tasha Tasia"
5,54,"Ted Tedda"
5,317,"Teresita Teressa"
5,186,"Theda Thekla"
5,432,"Tiffi Tiffie"
5,430,"Tracey Traci"
